country,ppl,ppg,ppb
Iran,0.029,0.108,4.548
Libya,0.031,0.117,4.932
Venezuela,0.035,0.132,5.565
Egypt,0.289,1.094,45.928
Kuwait,0.342,1.295,54.399
Algeria,0.342,1.295,54.402
Angola,0.353,1.335,56.080
Turkmenistan,0.428,1.621,68.067
Malaysia,0.437,1.654,69.456
Nigeria,0.491,1.857,77.984
Bahrain,0.531,2.009,84.379
Bolivia,0.542,2.050,86.095
Kazakhstan,0.554,2.097,88.083
Qatar,0.577,2.183,91.686
Azerbaijan,0.588,2.227,93.522
Russia,0.618,2.338,98.190
Oman,0.621,2.351,98.753
Saudi Arabia,0.621,2.352,98.771
Iraq,0.649,2.456,103.160
Ecuador,0.651,2.465,103.530
Sudan,0.700,2.650,111.291
Belarus,0.724,2.741,115.115
Tunisia,0.811,3.071,128.979
Kyrgyzstan,0.826,3.128,131.374
Bhutan,0.853,3.228,135.576
Lebanon,0.857,3.245,136.310
UAE,0.877,3.319,139.379
Paraguay,0.884,3.348,140.612
Maldives,0.927,3.509,147.391
Vietnam,0.927,3.510,147.408
Taiwan,0.951,3.598,151.129
Liberia,0.966,3.657,153.589
Indonesia,0.975,3.691,155.031
Pakistan,0.980,3.711,155.877
Gabon,0.986,3.731,156.683
Uzbekistan,0.999,3.783,158.884
USA,1.026,3.885,163.166
Syria,1.026,3.885,163.170
Guyana,1.029,3.895,163.582
Panama,1.046,3.961,166.346
Puerto Rico,1.052,3.982,167.255
Bangladesh,1.063,4.023,168.956
Afghanistan,1.064,4.029,169.212
Colombia,1.067,4.039,169.656
Ghana,1.070,4.052,170.171
Argentina,1.101,4.168,175.055
Philippines,1.108,4.193,176.113
Haiti,1.111,4.207,176.679
Japan,1.119,4.236,177.923
Botswana,1.122,4.247,178.359
Benin,1.129,4.272,179.438
Swaziland,1.133,4.290,180.168
Trinidad & Tobago,1.142,4.323,181.569
Brazil,1.146,4.337,182.159
DR Congo,1.151,4.357,182.989
Honduras,1.153,4.364,183.283
Guatemala,1.159,4.386,184.229
Togo,1.162,4.398,184.715
Australia,1.167,4.416,185.471
China,1.187,4.495,188.781
El Salvador,1.200,4.543,190.820
Cambodia,1.202,4.552,191.175
Georgia,1.210,4.581,192.418
India,1.250,4.733,198.800
Suriname,1.266,4.791,201.212
Curacao,1.271,4.812,202.102
Namibia,1.271,4.813,202.140
Tanzania,1.277,4.834,203.038
Nepal,1.283,4.858,204.029
Thailand,1.289,4.878,204.866
Peru,1.289,4.879,204.910
South Korea,1.294,4.899,205.757
Cuba,1.295,4.901,205.857
Dom. Rep.,1.306,4.942,207.568
Lesotho,1.310,4.959,208.292
Dominica,1.326,5.018,210.761
Turkey,1.327,5.022,210.919
Madagascar,1.328,5.027,211.148
Nicaragua,1.333,5.045,211.897
Fiji,1.340,5.074,213.120
Saint Lucia,1.343,5.084,213.548
Burma,1.348,5.103,214.339
Mozambique,1.350,5.110,214.618
Grenada,1.353,5.121,215.071
Rwanda,1.361,5.152,216.399
Armenia,1.365,5.168,217.039
Ethiopia,1.373,5.197,218.281
Zambia,1.377,5.211,218.881
Canada,1.379,5.220,219.253
Jamaica,1.389,5.256,220.766
South Africa,1.389,5.259,220.863
Cameroon,1.391,5.267,221.199
Guinea,1.395,5.282,221.843
Sri Lanka,1.400,5.300,222.595
Burkina Faso,1.411,5.340,224.297
Moldova,1.429,5.411,227.256
Uganda,1.434,5.428,227.987
Mauritius,1.435,5.434,228.217
Mali,1.437,5.441,228.519
Costa Rica,1.449,5.484,230.335
Mexico,1.451,5.492,230.678
Ivory Coast,1.452,5.497,230.894
Malta,1.455,5.506,231.250
Malawi,1.459,5.525,232.038
Bosnia & Herz.,1.464,5.541,232.718
N. Maced.,1.464,5.541,232.727
Kenya,1.474,5.579,234.330
Ukraine,1.474,5.579,234.330
Morocco,1.476,5.587,234.645
Mongolia,1.486,5.624,236.223
Bulgaria,1.487,5.628,236.368
Laos,1.490,5.642,236.954
Aruba,1.494,5.657,237.605
Cayman Islands,1.503,5.688,238.905
Burundi,1.510,5.718,240.137
Cape Verde,1.514,5.731,240.701
Sierra Leone,1.524,5.771,242.375
Bahamas,1.564,5.922,248.726
Romania,1.574,5.958,250.234
Zimbabwe,1.580,5.981,251.200
Chile,1.605,6.077,255.220
Andorra,1.609,6.089,255.755
Slovenia,1.623,6.143,257.999
Seychelles,1.631,6.176,259.378
Senegal,1.643,6.220,261.240
Lithuania,1.656,6.269,263.302
Cyprus,1.692,6.406,269.043
Jordan,1.693,6.408,269.131
Montenegro,1.704,6.451,270.942
Poland,1.706,6.458,271.219
Hungary,1.715,6.491,272.612
Luxembourg,1.730,6.550,275.084
Croatia,1.737,6.574,276.119
Czech Republic,1.743,6.597,277.080
Austria,1.767,6.689,280.951
Slovakia,1.770,6.702,281.469
Belize,1.774,6.715,282.012
Sweden,1.776,6.724,282.393
Spain,1.785,6.758,283.850
New Zealand,1.796,6.799,285.558
Belgium,1.816,6.874,288.717
Serbia,1.816,6.876,288.773
C. Afr. Rep.,1.822,6.897,289.665
Latvia,1.843,6.976,292.997
Estonia,1.889,7.152,300.383
UK,1.892,7.160,300.736
Portugal,1.897,7.182,301.660
San Marino,1.908,7.224,303.408
Wallis and Futuna,1.954,7.398,310.732
Germany,1.958,7.412,311.324
Albania,1.970,7.458,313.240
Ireland,1.992,7.540,316.674
Finland,1.997,7.560,317.537
France,2.016,7.630,320.453
Uruguay,2.031,7.690,322.964
Italy,2.046,7.743,325.216
Mayotte,2.062,7.807,327.891
Switzerland,2.066,7.819,328.396
Singapore,2.073,7.847,329.590
Barbados,2.091,7.914,332.400
Greece,2.094,7.926,332.896
Norway,2.099,7.944,333.644
Liechtenstein,2.130,8.061,338.576
Israel,2.215,8.383,352.092
Netherlands,2.219,8.399,352.742
Denmark,2.229,8.439,354.417
Iceland,2.282,8.638,362.787
Monaco,2.312,8.752,367.583
Hong Kong,3.215,12.169,511.094
